fold,layer,scope,expected_backbone_path,registry_backbone_path,resolved_backbone_path,backbone_exists_here,history_path,history_exists_here,best_loss
0,sup,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold0_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_sup_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold0_sup_history.csv,True,1.6930208206176758
0,deep,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold0_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_deep_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold0_deep_history.csv,True,1.9277088046073916
0,cc,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold0_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold0_cc_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold0_cc_history.csv,True,2.927428722381592
1,sup,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold1_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_sup_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold1_sup_history.csv,True,1.7539852857589722
1,deep,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold1_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_deep_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold1_deep_history.csv,True,1.8120267391204836
1,cc,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold1_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold1_cc_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold1_cc_history.csv,True,2.9060678482055664
2,sup,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold2_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_sup_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold2_sup_history.csv,True,1.8002082109451294
2,deep,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold2_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_deep_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold2_deep_history.csv,True,1.9747419357299805
2,cc,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold2_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold2_cc_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold2_cc_history.csv,True,2.694711446762085
3,sup,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold3_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_sup_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold3_sup_history.csv,True,1.542210578918457
3,deep,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold3_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_deep_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold3_deep_history.csv,True,2.0736905336380005
3,cc,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold3_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold3_cc_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold3_cc_history.csv,True,2.780647397041321
4,sup,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold4_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_sup_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_sup_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold4_sup_history.csv,True,1.6104997992515564
4,deep,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold4_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_deep_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_deep_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold4_deep_history.csv,True,2.007561683654785
4,cc,fold_train,outputs/phase3_octa_simclr/simclr_fold_train_fold4_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_cc_backbone.pt,outputs/phase3_octa_simclr/simclr_fold_train_fold4_cc_backbone.pt,False,outputs/phase3_octa_simclr/simclr_fold_train_fold4_cc_history.csv,True,2.6576861143112183
